"","logFC","logCPM","PValue","FDR"
"YLR352W",-0.756612760512579,5.65117597944093,3.22933503794897e-07,1.49048170199251e-06
"YLR117C",-0.795491434402598,5.84790699054509,3.31583704614035e-07,1.52921339064789e-06
"YDR378C",-0.519239130211309,6.42444066312158,3.35572939683048e-07,1.5464058287419e-06
"YAL024C",-0.857912156270809,4.87909499322114,3.37896290454664e-07,1.55590066196128e-06
"YLR175W",0.735748113669994,8.92063041395136,3.41129649098384e-07,1.56956775561053e-06
"YOL029C",-0.760509924660596,5.68922177331275,3.46264762410044e-07,1.59195134340521e-06
"YDR191W",-1.21831165284612,4.28149408914062,3.46532589201608e-07,1.59195134340521e-06
"YPL228W",-0.702082781760124,5.98457501041317,3.52818159197244e-07,1.61956947088448e-06
"YLR346C",1.8561962259054,2.91665181295961,3.54619348395513e-07,1.62657572438469e-06
"YBR171W",-0.805069736146546,6.11501957754543,3.56758101868493e-07,1.63511827169316e-06
"YJL030W",-0.688298039962775,5.50229773223545,3.61303617322134e-07,1.65466989450082e-06
"YCL042W",0.585813749257961,5.9620270006193,3.6359663134978e-07,1.66260012208075e-06
"YJL044C",-0.625285549686765,6.52549349412832,3.63597187421411e-07,1.66260012208075e-06
"YDR022C",-0.945147700289561,4.60319868196839,3.76371608580517e-07,1.71968402159917e-06
"YCL039W",-0.701617431100801,7.03350039269184,3.8122389320934e-07,1.74051062972196e-06
"YML091C",-0.888042513884047,6.69148717315012,3.93232397344176e-07,1.79395227069043e-06
"YOR067C",-0.694468443486726,6.34405437365224,4.02932120280354e-07,1.83678686879727e-06
"YBR085C-A",-0.643935236321189,6.87718536884428,4.06834933947644e-07,1.85315034962911e-06
"YDR351W",-0.736856206272937,6.35393896153899,4.09858404782893e-07,1.86548629315414e-06
"YML131W",-0.734678639696867,5.91326054958965,4.16461961843141e-07,1.89408564813671e-06
"YER019C-A",-0.456262408734136,7.87974870051975,4.27907129528589e-07,1.94464399801894e-06
"YOR352W",-0.797912457374954,5.26080851027187,4.31100914743537e-07,1.95765472949924e-06
"YPL215W",-0.682297711087163,6.05649830971237,4.3229871978406e-07,1.96158859276249e-06
"YNL265C",-0.61254541471014,5.78879531978071,4.38921839624682e-07,1.99011534487298e-06
"YLR266C",-0.823423397624759,5.84100431534294,4.48752741278279e-07,2.03313167698589e-06
"YHR171W",-0.758560693557402,5.4453038398908,4.5729873340571e-07,2.0693356838216e-06
"YMR285C",-0.661667408788569,5.77872706818153,4.5744314254498e-07,2.0693356838216e-06
"YFR040W",-0.45066473512323,7.61890619361203,4.58552616707257e-07,2.07276992594105e-06
"YAL037W",-2.01867324934596,2.8647572376575,4.5947372247826e-07,2.07534810374341e-06
"YBL017C",-0.404719336850956,8.1863826948766,4.63350291435453e-07,2.09126138399968e-06
"YBR234C",-0.502246022369213,7.96245052474393,4.65211199475217e-07,2.0980599598284e-06
"YJL181W",-0.764862637608461,5.28710886617079,4.71287861601428e-07,2.12384636488625e-06
"YPL024W",-0.929296035934718,5.08369844440033,4.74594289730615e-07,2.13695131264339e-06
"YGR077C",-0.678704057427313,5.80320139329451,4.74918197756643e-07,2.13695131264339e-06
"YHL033C",0.385173942185343,9.66584365460357,4.78325358584141e-07,2.15064676804131e-06
"YNL076W",-0.580977922133291,6.55083257036573,4.8227914592274e-07,2.16677730176526e-06
"YPR005C",-0.912185392716703,4.95723459354615,4.87151692915622e-07,2.18700801743682e-06
"YOL117W",-1.0288597086783,4.6534314660529,4.91803843454746e-07,2.20621936445924e-06
